timestamp,src_mac,dst_mac,ethertype,frame_size_bytes
2025-06-22 19:27:21,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:21,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:24,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:24,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:33,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:33,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:49,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:49,3a:ff:fe:80:00:00,60:00:00:00:00:08,0x86dd,82
2025-06-22 19:27:54,40:00:40:01:d2:45,45:00:00:54:69:cf,0x0800,118
2025-06-22 19:27:54,40:00:40:01:d2:45,45:00:00:54:69:cf,0x0800,118
2025-06-22 19:27:54,00:00:3f:01:5e:51,45:00:00:54:1e:c4,0x0800,84
2025-06-22 19:27:54,00:00:3f:01:5e:51,45:00:00:54:1e:c4,0x0800,84
2025-06-22 19:27:55,40:00:40:01:d2:2b,45:00:00:54:69:e9,0x0800,118
2025-06-22 19:27:55,40:00:40:01:d2:2b,45:00:00:54:69:e9,0x0800,118
2025-06-22 19:27:55,00:00:3f:01:10:ff,45:00:00:54:6c:16,0x0800,84
2025-06-22 19:27:55,00:00:3f:01:10:ff,45:00:00:54:6c:16,0x0800,84
2025-06-22 19:27:56,40:00:40:01:d1:da,45:00:00:54:6a:3a,0x0800,118
2025-06-22 19:27:56,40:00:40:01:d1:da,45:00:00:54:6a:3a,0x0800,118
2025-06-22 19:27:56,00:00:3f:01:aa:72,45:00:00:54:d2:a2,0x0800,84
2025-06-22 19:27:56,00:00:3f:01:aa:72,45:00:00:54:d2:a2,0x0800,84
2025-06-22 19:27:57,40:00:40:01:d1:91,45:00:00:54:6a:83,0x0800,118
2025-06-22 19:27:57,40:00:40:01:d1:91,45:00:00:54:6a:83,0x0800,118
2025-06-22 19:27:57,00:00:3f:01:74:6e,45:00:00:54:08:a7,0x0800,84
2025-06-22 19:27:57,00:00:3f:01:74:6e,45:00:00:54:08:a7,0x0800,84
2025-06-22 19:27:58,40:00:40:01:d1:7c,45:00:00:54:6a:98,0x0800,118
2025-06-22 19:27:58,40:00:40:01:d1:7c,45:00:00:54:6a:98,0x0800,118
2025-06-22 19:27:58,00:00:3f:01:c2:fa,45:00:00:54:ba:1a,0x0800,84
2025-06-22 19:27:58,00:00:3f:01:c2:fa,45:00:00:54:ba:1a,0x0800,84
2025-06-22 19:27:59,40:00:40:01:d1:27,45:00:00:54:6a:ed,0x0800,118
2025-06-22 19:27:59,40:00:40:01:d1:27,45:00:00:54:6a:ed,0x0800,118
2025-06-22 19:28:00,00:00:3f:01:14:2e,45:00:00:54:68:e7,0x0800,84
2025-06-22 19:28:00,00:00:3f:01:14:2e,45:00:00:54:68:e7,0x0800,84
2025-06-22 19:28:00,40:00:40:01:d0:d6,45:00:00:54:6b:3e,0x0800,118
2025-06-22 19:28:00,40:00:40:01:d0:d6,45:00:00:54:6b:3e,0x0800,118
2025-06-22 19:28:01,00:00:3f:01:dd:b7,45:00:00:54:9f:5d,0x0800,84
2025-06-22 19:28:01,00:00:3f:01:dd:b7,45:00:00:54:9f:5d,0x0800,84
2025-06-22 19:28:01,40:00:40:01:d0:8a,45:00:00:54:6b:8a,0x0800,118
2025-06-22 19:28:01,40:00:40:01:d0:8a,45:00:00:54:6b:8a,0x0800,118
2025-06-22 19:28:01,00:00:3f:01:0d:0d,45:00:00:54:70:08,0x0800,84
2025-06-22 19:28:01,00:00:3f:01:0d:0d,45:00:00:54:70:08,0x0800,84
2025-06-22 19:28:02,40:00:40:01:d0:4b,45:00:00:54:6b:c9,0x0800,118
2025-06-22 19:28:02,40:00:40:01:d0:4b,45:00:00:54:6b:c9,0x0800,118
2025-06-22 19:28:03,00:00:3f:01:cf:e0,45:00:00:54:ad:34,0x0800,84
2025-06-22 19:28:03,00:00:3f:01:cf:e0,45:00:00:54:ad:34,0x0800,84
2025-06-22 19:28:03,40:00:40:01:cf:fd,45:00:00:54:6c:17,0x0800,118
2025-06-22 19:28:03,40:00:40:01:cf:fd,45:00:00:54:6c:17,0x0800,118
2025-06-22 19:28:03,00:00:3f:01:8a:88,45:00:00:54:f2:8c,0x0800,84
2025-06-22 19:28:03,00:00:3f:01:8a:88,45:00:00:54:f2:8c,0x0800,84
2025-06-22 19:28:04,40:00:40:01:cf:e7,45:00:00:54:6c:2d,0x0800,118
2025-06-22 19:28:04,40:00:40:01:cf:e7,45:00:00:54:6c:2d,0x0800,118
2025-06-22 19:28:04,00:00:3f:01:0f:18,45:00:00:54:6d:fd,0x0800,84
2025-06-22 19:28:04,00:00:3f:01:0f:18,45:00:00:54:6d:fd,0x0800,84
2025-06-22 19:28:05,40:00:40:01:cf:b4,45:00:00:54:6c:60,0x0800,118
2025-06-22 19:28:05,40:00:40:01:cf:b4,45:00:00:54:6c:60,0x0800,118
2025-06-22 19:28:05,00:00:3f:01:7e:ed,45:00:00:54:fe:27,0x0800,84
2025-06-22 19:28:05,00:00:3f:01:7e:ed,45:00:00:54:fe:27,0x0800,84
2025-06-22 19:28:06,40:00:40:01:cf:71,45:00:00:54:6c:a3,0x0800,118
2025-06-22 19:28:06,40:00:40:01:cf:71,45:00:00:54:6c:a3,0x0800,118
2025-06-22 19:28:07,00:00:3f:01:86:27,45:00:00:54:f6:ed,0x0800,84
2025-06-22 19:28:07,00:00:3f:01:86:27,45:00:00:54:f6:ed,0x0800,84
2025-06-22 19:28:07,40:00:40:01:cf:48,45:00:00:54:6c:cc,0x0800,118
2025-06-22 19:28:07,40:00:40:01:cf:48,45:00:00:54:6c:cc,0x0800,118
2025-06-22 19:28:07,00:00:3f:01:80:a9,45:00:00:54:fc:6b,0x0800,84
2025-06-22 19:28:07,00:00:3f:01:80:a9,45:00:00:54:fc:6b,0x0800,84
2025-06-22 19:28:08,40:00:40:01:cf:47,45:00:00:54:6c:cd,0x0800,118
2025-06-22 19:28:08,40:00:40:01:cf:47,45:00:00:54:6c:cd,0x0800,118
2025-06-22 19:28:08,00:00:3f:01:59:50,45:00:00:54:23:c5,0x0800,84
2025-06-22 19:28:08,00:00:3f:01:59:50,45:00:00:54:23:c5,0x0800,84
2025-06-22 19:28:09,40:00:40:01:ce:f5,45:00:00:54:6d:1f,0x0800,118
2025-06-22 19:28:09,40:00:40:01:ce:f5,45:00:00:54:6d:1f,0x0800,118
2025-06-22 19:28:10,00:00:3f:01:5b:1a,45:00:00:54:21:fb,0x0800,84
2025-06-22 19:28:10,00:00:3f:01:5b:1a,45:00:00:54:21:fb,0x0800,84
2025-06-22 19:28:10,40:00:40:01:ce:b3,45:00:00:54:6d:61,0x0800,118
2025-06-22 19:28:10,40:00:40:01:ce:b3,45:00:00:54:6d:61,0x0800,118
2025-06-22 19:28:10,00:00:3f:01:b9:51,45:00:00:54:c3:c3,0x0800,84
2025-06-22 19:28:11,00:00:3f:01:b9:51,45:00:00:54:c3:c3,0x0800,84
2025-06-22 19:28:11,40:00:40:01:ce:a9,45:00:00:54:6d:6b,0x0800,118
2025-06-22 19:28:11,40:00:40:01:ce:a9,45:00:00:54:6d:6b,0x0800,118
2025-06-22 19:28:12,00:00:3f:01:d0:a7,45:00:00:54:ac:6d,0x0800,84
2025-06-22 19:28:12,00:00:3f:01:d0:a7,45:00:00:54:ac:6d,0x0800,84
2025-06-22 19:28:13,40:00:40:01:ce:78,45:00:00:54:6d:9c,0x0800,118
2025-06-22 19:28:13,40:00:40:01:ce:78,45:00:00:54:6d:9c,0x0800,118
2025-06-22 19:28:13,00:00:3f:01:fd:f7,45:00:00:54:7f:1d,0x0800,84
2025-06-22 19:28:13,00:00:3f:01:fd:f7,45:00:00:54:7f:1d,0x0800,84
2025-06-22 19:28:14,40:00:40:01:ce:22,45:00:00:54:6d:f2,0x0800,118
2025-06-22 19:28:14,40:00:40:01:ce:22,45:00:00:54:6d:f2,0x0800,118
2025-06-22 19:28:14,00:00:3f:01:b2:ea,45:00:00:54:ca:2a,0x0800,84
